gene	start	end	strand	alt_ann
mpneu17181	426935	426955	-	-1
mpneu12148	426981	427052	+	0
mpneu07331	426989	427066	+	0
mpneu17180	426965	427015	-	-1
mpneu17179	427049	427111	-	0
mpneu02370	427159	427449	+	0
mpneu17178	427163	427192	-	-1
mpneu12149	427200	427214	+	-1
mpneu07332	427244	427306	+	0
mpneu17177	427211	427264	-	-1
mpneu12150	427287	427361	+	0
mpneu07333	427307	427513	+	0
mpneu17176	427316	427333	-	-1
mpneu12151	427368	427403	+	-1
mpneu12152	427452	427472	+	-1
mpneu17175	427358	427462	-	0
mpneu17174	427469	427480	-	-1
mpneu12153	427494	427535	+	-1
mpneu27309	425535	427511	-	MPN357
mpneu12154	427542	427562	+	-1
mpneu22267	427537	427548	-	-1
mpneu07334	427553	427609	+	-1
mpneu02371	427612	427659	+	-1
mpneu12155	427623	427673	+	-1
mpneu07335	427634	429283	+	MPN358
mpneu27308	427569	427634	-	0
mpneu17173	427559	427657	-	0
mpneu27307	427719	427748	-	-1
mpneu17172	427676	427750	-	0
mpneu02372	427756	427791	+	-1
mpneu12156	427767	427799	+	-1
mpneu22266	427711	427812	-	0
mpneu12157	427830	427904	+	0
mpneu17171	427796	427837	-	-1
mpneu27306	427869	427892	-	-1
mpneu12158	427917	427928	+	-1
mpneu17170	427976	427993	-	-1
mpneu02373	427996	428109	+	0
mpneu17169	428012	428038	-	-1
mpneu12159	428076	428129	+	-1
mpneu02374	428116	428370	+	0
mpneu27305	428106	428135	-	-1
mpneu27304	428151	428165	-	-1
mpneu12160	428220	428240	+	-1
mpneu17168	428156	428221	-	0
mpneu12161	428256	428276	+	-1
mpneu27303	428178	428315	-	0
mpneu17167	428306	428323	-	-1
mpneu17166	428333	428350	-	-1
mpneu22265	427813	428373	-	0
mpneu12162	428385	428483	+	0
mpneu02375	428440	428547	+	0
mpneu17165	428363	428488	-	0
mpneu17164	428498	428518	-	-1
mpneu12163	428529	428537	+	-1
mpneu17163	428564	428605	-	-1
mpneu12164	428619	428627	+	-1
mpneu27302	428637	428651	-	-1
mpneu17162	428624	428653	-	-1
mpneu12165	428676	428714	+	-1
mpneu22264	428449	428703	-	0
mpneu12166	428751	428774	+	-1
mpneu22263	428707	428757	-	-1
mpneu17161	428732	428779	-	-1
mpneu17160	428783	428806	-	-1
mpneu02376	428812	428868	+	-1
mpneu12167	428817	428843	+	-1
mpneu12168	428847	428900	+	-1
mpneu22262	428821	428871	-	-1
mpneu02377	428878	428889	+	-1
mpneu27301	428865	428885	-	-1
mpneu22261	428893	428913	-	-1
mpneu17159	428903	428917	-	-1
mpneu12169	428928	428969	+	-1
mpneu27300	428886	428933	-	-1
mpneu22260	428926	429018	-	0
mpneu17158	428966	429049	-	0
mpneu12170	429066	429092	+	-1
mpneu17157	429056	429088	-	-1
mpneu27299	429051	429113	-	0
mpneu02378	429154	429231	+	0
mpneu17156	429089	429160	-	0
mpneu22259	429040	429180	-	0
mpneu17155	429224	429247	-	-1
mpneu22258	429187	429279	-	0
mpneu07336	429290	429298	+	-1
mpneu02379	429298	429321	+	-1
mpneu27298	429249	429308	-	0
mpneu07337	429329	429349	+	-1
mpneu27297	429318	429359	-	-1
mpneu17154	429254	429367	-	0
mpneu02380	429394	429405	+	-1
mpneu12171	429396	429410	+	-1
mpneu12172	429417	429431	+	-1
mpneu02381	429436	429441	+	-1
mpneu07338	429446	429535	+	0
mpneu17153	429443	429457	-	-1
mpneu02382	429478	429510	+	-1
mpneu27296	429378	429506	-	0
mpneu12173	429510	430289	+	MPN359
mpneu02383	429553	429609	+	-1
mpneu17152	429524	429559	-	-1
mpneu02384	429628	429732	+	0
mpneu22257	429565	429645	-	0
mpneu07339	429650	429658	+	-1
mpneu22256	429679	429687	-	-1
mpneu07340	429689	429697	+	-1
mpneu17151	429602	429700	-	0
mpneu22255	429694	429702	-	-1
mpneu27295	429633	429719	-	0
mpneu02385	429754	429771	+	-1
mpneu22254	429745	429765	-	-1
mpneu02386	429856	429894	+	-1
mpneu22253	429817	429870	-	-1
mpneu17150	429719	429886	-	0
mpneu07341	429899	429919	+	-1
mpneu02387	429937	430029	+	0
mpneu02388	430036	430227	+	0
mpneu17149	429935	430057	-	0
mpneu27294	430026	430073	-	-1
mpneu22252	430108	430134	-	-1
mpneu17148	430076	430159	-	0
mpneu27293	430113	430196	-	0
mpneu22251	430189	430215	-	-1
mpneu02389	430234	430308	+	0
mpneu17147	430163	430264	-	0
mpneu17146	430286	430297	-	-1
mpneu02390	430318	430371	+	-1
mpneu12174	430323	430328	+	-1
mpneu07342	430334	430627	+	MPN360
mpneu27292	430224	430358	-	0
mpneu17145	430310	430363	-	-1
mpneu02391	430378	430398	+	-1
mpneu12175	430380	430421	+	-1
mpneu22250	430276	430407	-	0
mpneu27291	430368	430415	-	-1
mpneu12176	430440	430484	+	-1
mpneu02392	430447	430455	+	-1
mpneu02393	430456	430560	+	0
mpneu17144	430418	430462	-	-1
mpneu17143	430481	430501	-	-1
mpneu12177	430506	430553	+	-1
mpneu17142	430550	430606	-	-1
mpneu07343	430628	431707	+	MPN361
mpneu12178	430635	430703	+	0
mpneu17141	430613	430687	-	0
mpneu12179	430722	430772	+	-1
mpneu17140	430700	430765	-	0
mpneu12180	430773	430805	+	-1
mpneu17139	430769	430810	-	-1
mpneu12181	430860	430925	+	0
mpneu17138	430856	430861	-	-1
mpneu27290	430791	430943	-	0
mpneu12182	430944	430976	+	-1
mpneu12183	430995	431021	+	-1
mpneu02394	431008	431058	+	-1
mpneu02395	431065	431082	+	-1
mpneu17137	431027	431077	-	-1
mpneu27289	431079	431096	-	-1
mpneu12184	431100	431111	+	-1
mpneu12185	431124	431261	+	0
mpneu17136	431108	431224	-	0
mpneu22249	430468	431226	-	0
mpneu27288	431199	431231	-	-1
mpneu27287	431235	431255	-	-1
mpneu17135	431249	431257	-	-1
mpneu12186	431268	431303	+	-1
mpneu12187	431313	431390	+	0
mpneu17134	431258	431374	-	0
mpneu02396	431398	431412	+	-1
mpneu27286	431367	431417	-	-1
mpneu17133	431375	431419	-	-1
mpneu12188	431430	431633	+	0
mpneu27285	431424	431441	-	-1
mpneu02397	431464	431514	+	-1
mpneu22248	431308	431556	-	0
mpneu27284	431457	431558	-	0
mpneu17132	431489	431590	-	0
mpneu22247	431563	431622	-	0
mpneu12189	431634	431690	+	-1
mpneu17131	431630	431686	-	-1
mpneu02398	431707	433068	+	MPN362
mpneu07344	431717	431791	+	0
mpneu22246	431704	431763	-	0
mpneu27283	431649	431783	-	0
mpneu07345	431798	431821	+	-1
mpneu22245	431788	431808	-	-1
mpneu17130	431810	431827	-	-1
mpneu12190	431829	431843	+	-1
mpneu22244	431818	431838	-	-1
mpneu17129	431840	431848	-	-1
mpneu07346	431858	431887	+	-1
mpneu07347	431897	431944	+	-1
mpneu22243	431884	431907	-	-1
mpneu17128	431936	431950	-	-1
mpneu22242	431950	431967	-	-1
mpneu07348	431987	432001	+	-1
mpneu27282	431919	432020	-	0
mpneu17127	431978	432025	-	-1
mpneu22241	432007	432027	-	-1
mpneu07349	432044	432073	+	-1
mpneu12191	432051	432119	+	0
mpneu07350	432077	432085	+	-1
mpneu22240	432082	432102	-	-1
mpneu07351	432107	432148	+	-1
mpneu22239	432103	432135	-	-1
mpneu22238	432145	432156	-	-1
mpneu07352	432158	432208	+	-1
mpneu12192	432186	432332	+	0
mpneu17126	432032	432232	-	0
mpneu07353	432236	432268	+	-1
mpneu27281	432111	432254	-	0
mpneu17125	432248	432259	-	-1
mpneu22237	432280	432288	-	-1
mpneu22236	432292	432300	-	-1
mpneu27280	432261	432311	-	-1
mpneu07354	432326	432436	+	0
mpneu22235	432316	432351	-	-1
mpneu22234	432367	432393	-	-1
mpneu12193	432405	432446	+	-1
mpneu17124	432386	432415	-	-1
mpneu27279	432345	432449	-	0
mpneu07355	432461	432529	+	0
mpneu17123	432458	432475	-	-1
mpneu22233	432439	432486	-	-1
mpneu07356	432533	432565	+	-1
mpneu22232	432526	432549	-	-1
mpneu17122	432551	432559	-	-1
mpneu27278	432468	432599	-	0
mpneu22231	432562	432603	-	-1
mpneu12194	432621	432647	+	-1
mpneu22230	432610	432630	-	-1
mpneu27277	432618	432665	-	-1
mpneu22229	432634	432669	-	-1
mpneu17121	432644	432688	-	-1
mpneu22228	432682	432696	-	-1
mpneu22227	432706	432717	-	-1
mpneu22226	432718	432723	-	-1
mpneu27276	432669	432734	-	0
mpneu12195	432741	432854	+	0
mpneu07357	432749	432769	+	-1
mpneu27275	432753	432758	-	-1
mpneu07358	432770	432811	+	-1
mpneu27274	432780	432794	-	-1
mpneu17120	432761	432802	-	-1
mpneu07359	432827	432835	+	-1
mpneu07360	432848	432886	+	-1
mpneu22225	432832	432867	-	-1
mpneu17119	432860	432874	-	-1
mpneu27273	432837	432881	-	-1
mpneu07361	432932	432973	+	-1
mpneu22224	432883	432939	-	-1
mpneu07362	432998	433045	+	-1
mpneu22223	432970	433020	-	-1
mpneu22222	433021	433035	-	-1
mpneu17118	432947	433048	-	0
mpneu22221	433042	433053	-	-1
mpneu27272	432975	433055	-	0
mpneu22220	433057	433077	-	-1
mpneu12196	433080	433103	+	-1
mpneu02399	433111	433242	+	0
mpneu27271	433065	433124	-	0
mpneu07363	433154	433198	+	-1
mpneu12197	433185	433508	+	MPN363
mpneu07364	433265	433282	+	-1
mpneu02400	433267	433317	+	-1
mpneu27270	433257	433292	-	-1
mpneu22219	433228	433326	-	0
mpneu02401	433339	433593	+	0
mpneu17117	433139	433396	-	0
mpneu27269	433353	433421	-	0
mpneu17116	433433	433483	-	-1
mpneu17115	433493	433504	-	-1
mpneu12198	433539	433562	+	-1
mpneu07365	433547	435580	+	0
mpneu12199	433569	433628	+	0
mpneu27268	433455	433589	-	0
mpneu22218	433510	433641	-	0
mpneu22217	433642	433650	-	-1
mpneu12200	433686	433745	+	0
mpneu27267	433617	433748	-	0
mpneu27266	433758	433781	-	-1
mpneu17114	433697	433786	-	0
mpneu02402	433831	433863	+	-1
mpneu12201	433863	433925	+	0
mpneu17113	433793	433900	-	0
mpneu27265	433914	433928	-	-1
mpneu22216	433702	433965	-	0
mpneu12202	433971	434111	+	0
mpneu27264	433980	433997	-	-1
mpneu02403	434008	434043	+	-1
mpneu27263	434061	434105	-	-1
mpneu27262	434112	434120	-	-1
mpneu22215	434047	434163	-	0
mpneu17112	433928	434167	-	0
mpneu12203	434169	434351	+	0
mpneu27261	434124	434192	-	0
mpneu22214	434236	434244	-	-1
mpneu17111	434201	434314	-	0
mpneu17110	434318	434323	-	-1
mpneu12204	434352	434423	+	0
mpneu22213	434338	434376	-	-1
mpneu17109	434348	434419	-	0
mpneu22212	434425	434442	-	-1
mpneu12205	434463	434489	+	-1
mpneu12206	434493	434621	+	0
mpneu27260	434547	434558	-	-1
mpneu12207	434649	434777	+	0
mpneu22211	434455	434718	-	0
mpneu27259	434655	434735	-	0
mpneu17108	434486	434737	-	0
mpneu17107	434774	434788	-	-1
mpneu12208	434796	434807	+	-1
mpneu12209	434835	434900	+	0
mpneu27258	434817	434852	-	-1
mpneu27257	434853	434873	-	-1
mpneu22210	434725	434895	-	0
mpneu12210	434901	435104	+	0
mpneu27256	434874	434912	-	-1
mpneu17106	434804	435025	-	0
mpneu27255	435027	435068	-	-1
mpneu27254	435084	435107	-	-1
mpneu17105	435059	435115	-	-1
mpneu12211	435129	435191	+	0
mpneu17104	435125	435139	-	-1
mpneu27253	435141	435167	-	-1
mpneu02404	435181	435228	+	-1
mpneu12212	435195	435305	+	0
mpneu22209	434905	435246	-	0
mpneu27252	435177	435266	-	0
mpneu17103	435188	435268	-	0
mpneu12213	435321	435404	+	0
mpneu17102	435302	435373	-	0
mpneu22208	435289	435384	-	0
mpneu27251	435378	435401	-	-1
mpneu17101	435401	435433	-	-1
mpneu12214	435447	435512	+	0
mpneu27250	435420	435455	-	-1
mpneu12215	435555	435566	+	-1
mpneu22207	435442	435576	-	0
mpneu02405	435589	435693	+	0
mpneu22206	435577	435600	-	-1
mpneu12216	435618	436730	+	MPN365
mpneu07366	435650	435664	+	-1
mpneu22205	435661	435675	-	-1
mpneu17100	435632	435691	-	0
mpneu02406	435706	435738	+	-1
mpneu02407	435739	435753	+	-1
mpneu17099	435719	435760	-	-1
mpneu02408	435763	435792	+	-1
mpneu07367	435767	435847	+	0
mpneu22204	435697	435801	-	0
mpneu02409	435802	435822	+	-1
mpneu17098	435809	435820	-	-1
mpneu02410	435835	435873	+	-1
mpneu27249	435735	435860	-	0
mpneu07368	435860	435901	+	-1
mpneu02411	435886	435972	+	0
mpneu22203	435898	435918	-	-1
mpneu27248	435870	435941	-	0
mpneu07369	435953	435967	+	-1
mpneu22202	435964	436011	-	-1
mpneu17097	435827	436015	-	0
mpneu27247	435999	436025	-	-1
mpneu02412	436033	436047	+	-1
mpneu02413	436096	436182	+	0
mpneu17096	436112	436123	-	-1
mpneu22201	436054	436155	-	0
mpneu27246	436074	436178	-	0
mpneu07370	436190	436201	+	-1
mpneu02414	436192	436293	+	0
mpneu17095	436145	436219	-	0
mpneu22200	436270	436278	-	-1
mpneu07371	436307	436375	+	0
mpneu02415	436315	436362	+	-1
mpneu17094	436259	436333	-	0
mpneu22199	436339	436344	-	-1
mpneu02416	436375	436413	+	-1
mpneu22198	436384	436395	-	-1
mpneu27245	436290	436397	-	0
mpneu07372	436400	436420	+	-1
mpneu27244	436458	436487	-	-1
mpneu27243	436509	436517	-	-1
mpneu22197	436417	436551	-	0
mpneu27242	436554	436565	-	-1
mpneu02417	436573	436617	+	-1
mpneu07373	436604	436651	+	-1
mpneu17093	436367	436609	-	0
mpneu27241	436614	436658	-	-1
mpneu07374	436688	436744	+	-1
mpneu27240	436680	436712	-	-1
mpneu27239	436713	436721	-	-1
mpneu27238	436734	436754	-	-1
mpneu27237	436755	436784	-	-1
mpneu07375	436814	437632	+	MPN366
mpneu12217	436827	436901	+	0
mpneu17092	436799	436846	-	-1
mpneu17091	436847	436852	-	-1
mpneu27236	436788	436949	-	0
mpneu12218	436986	437285	+	0
mpneu27235	436962	437024	-	0
mpneu22196	436723	437055	-	0
mpneu22195	437086	437121	-	-1
mpneu02418	437122	437145	+	-1
mpneu22194	437158	437202	-	-1
mpneu22193	437218	437226	-	-1
mpneu17090	436898	437251	-	0
mpneu22192	437263	437274	-	-1
mpneu12219	437295	437411	+	0
mpneu02419	437344	437376	+	-1
mpneu17089	437282	437365	-	0
mpneu12220	437451	437597	+	0
mpneu02420	437458	438531	+	MPN367
mpneu17088	437408	437533	-	0
mpneu22191	437599	437604	-	-1
mpneu07376	437660	437695	+	-1
mpneu17087	437594	437680	-	0
mpneu22190	437629	437688	-	0
mpneu17086	437702	437725	-	-1
mpneu07377	437732	437737	+	-1
mpneu07378	437753	437899	+	0
mpneu12221	437871	437882	+	-1
mpneu07379	437915	437998	+	0
mpneu22189	437698	437958	-	0
mpneu07380	438014	438130	+	0
mpneu27234	437373	438089	-	0
mpneu17085	437927	438109	-	0
mpneu22188	438073	438117	-	-1
mpneu07381	438131	438562	+	0
mpneu12222	438174	438293	+	0
mpneu27233	438123	438347	-	0
mpneu27232	438357	438365	-	-1
mpneu17084	438290	438409	-	0
mpneu22187	438127	438471	-	0
mpneu12223	438525	438827	+	0
mpneu02421	438562	438705	+	0
mpneu17083	438410	438586	-	0
mpneu27231	438462	438677	-	0
mpneu02422	438709	438771	+	0
mpneu22186	438706	438720	-	-1
mpneu17082	438656	438724	-	0
mpneu17081	438728	438757	-	-1
mpneu27230	438702	438788	-	0
mpneu02423	438796	438837	+	-1
mpneu07382	438803	438814	+	-1
mpneu17080	438758	438817	-	0
mpneu22185	438811	438843	-	-1
mpneu07383	438848	438991	+	0
mpneu17079	438863	438901	-	-1
mpneu27229	438867	438923	-	-1
mpneu22184	438943	438957	-	-1
mpneu12224	438963	439001	+	-1
mpneu02424	438973	438978	+	-1
mpneu02425	439039	439077	+	-1
mpneu12225	439062	439220	+	0
mpneu02426	439096	439101	+	-1
mpneu22183	439093	439107	-	-1
mpneu07384	439118	439123	+	-1
mpneu02427	439123	439140	+	-1
mpneu02428	439159	439245	+	0
mpneu22182	439132	439176	-	-1
mpneu17078	438998	439192	-	0
mpneu07385	439220	439762	+	MPN368
mpneu02429	439300	439314	+	-1
mpneu12226	439329	439406	+	0
mpneu27228	439380	439439	-	0
mpneu17077	439217	439447	-	0
mpneu27227	439452	439457	-	-1
mpneu12227	439461	439505	+	-1
mpneu12228	439536	439547	+	-1
mpneu12229	439560	439640	+	0
mpneu27226	439578	439610	-	-1
mpneu17076	439544	439636	-	0
mpneu17075	439637	439648	-	-1
mpneu17074	439652	439657	-	-1
mpneu12230	439674	439697	+	-1
mpneu12231	439707	439757	+	-1
mpneu27225	439701	439724	-	-1
mpneu22181	439261	439743	-	0
mpneu12232	439782	439802	+	-1
mpneu22180	439765	439791	-	-1
mpneu17073	439754	439825	-	0
mpneu12233	439830	439838	+	-1
mpneu22179	439792	439851	-	0
mpneu27224	439806	439859	-	-1
mpneu02430	439879	439905	+	-1
mpneu12234	439884	439901	+	-1
mpneu22178	439876	439893	-	-1
mpneu07386	439919	439945	+	-1
mpneu12235	439938	439961	+	-1
mpneu27223	439902	439964	-	0
mpneu07387	439979	440179	+	0
mpneu27222	439971	440006	-	-1
mpneu12236	440019	440030	+	-1
mpneu12237	440031	440042	+	-1
mpneu27221	440016	440048	-	-1
mpneu17072	440039	440053	-	-1
mpneu12238	440064	440069	+	-1
mpneu02431	440128	440382	+	0
mpneu07388	440183	440221	+	-1
mpneu17071	440195	440233	-	-1
mpneu12239	440262	440276	+	-1
mpneu12240	440286	440324	+	-1
mpneu27220	440055	440306	-	0
mpneu07389	440333	440347	+	-1
mpneu12241	440337	440447	+	0
mpneu27219	440349	440366	-	-1
mpneu27218	440379	440399	-	-1
mpneu02432	440401	440418	+	-1
mpneu07390	440450	440455	+	-1
mpneu07391	440477	440695	+	0
mpneu12242	440505	440546	+	-1
mpneu27217	440472	440522	-	-1
mpneu02433	440566	440589	+	-1
mpneu17070	440555	440602	-	-1
mpneu12243	440631	440678	+	-1
mpneu22177	439894	440658	-	MPN369
mpneu07392	440705	440713	+	-1
mpneu12244	440718	440750	+	-1
mpneu07393	440723	440746	+	-1
mpneu17069	440675	440743	-	0
mpneu17068	440747	440767	-	-1
mpneu27216	440586	440771	-	0
mpneu22176	440743	440781	-	-1
mpneu07394	440801	440863	+	0
mpneu12245	440823	441044	+	0
mpneu02434	440830	440853	+	-1
mpneu17067	440816	440839	-	-1
mpneu27215	440826	440849	-	-1
mpneu07395	440879	440941	+	0
mpneu27214	440850	440888	-	-1
mpneu22175	440860	440907	-	-1
mpneu27213	440913	440933	-	-1
mpneu07396	440951	441001	+	-1
mpneu02435	440977	441012	+	-1
mpneu17066	440909	440983	-	0
mpneu22174	440938	440994	-	-1
mpneu27212	441009	441020	-	-1
mpneu17065	441002	441040	-	-1
mpneu07397	441047	441106	+	0
mpneu22173	440998	441093	-	0
mpneu12246	441093	441131	+	-1
mpneu22172	441103	441114	-	-1
mpneu07398	441125	441253	+	0
mpneu12247	441138	441191	+	-1
mpneu27211	441057	441146	-	0
mpneu02436	441160	441183	+	-1
mpneu12248	441192	441215	+	-1
mpneu27210	441180	441218	-	-1
mpneu22171	441133	441240	-	0
mpneu02437	441241	441270	+	-1
mpneu27209	441267	441278	-	-1
mpneu17064	441254	441289	-	-1
mpneu07399	441296	443509	+	MPN370
mpneu12249	441306	441458	+	0
mpneu22170	441283	441360	-	0
mpneu27208	441495	441509	-	-1
mpneu12250	441510	441800	+	0
mpneu02438	441625	441687	+	0
mpneu27207	441603	441695	-	0
mpneu17063	441299	441718	-	0
mpneu27206	441762	441767	-	-1
mpneu22169	441394	441840	-	0
mpneu12251	441891	442091	+	0
mpneu02439	441928	442236	+	0
mpneu22168	441889	442062	-	0
mpneu17062	441833	442069	-	0
mpneu22167	442078	442113	-	-1
mpneu12252	442125	442418	+	0
mpneu27205	441861	442220	-	0
mpneu02440	442291	442314	+	-1
mpneu17061	442088	442303	-	0
mpneu02441	442357	442647	+	0
mpneu22166	442168	442386	-	0
mpneu12253	442428	442538	+	0
mpneu27204	442233	442433	-	0
mpneu17060	442535	442576	-	-1
mpneu27203	442581	442598	-	-1
mpneu12254	442626	442781	+	0
mpneu22165	442399	442713	-	0
mpneu17059	442610	442765	-	0
mpneu02442	442789	443091	+	0
mpneu17058	442778	442882	-	0
mpneu12255	442995	443036	+	-1
mpneu22164	442720	443010	-	0
mpneu27202	442740	443066	-	0
mpneu02443	443107	443214	+	0
mpneu27201	443088	443180	-	0
mpneu22163	443011	443199	-	0
mpneu17057	443120	443248	-	0
mpneu12256	443253	443273	+	-1
mpneu02444	443278	443292	+	-1
mpneu12257	443322	443348	+	-1
mpneu02445	443338	444135	+	0
mpneu12258	443385	443555	+	0
mpneu17056	443345	443398	-	-1
mpneu22162	443215	443448	-	0
mpneu07400	443561	444016	+	0
mpneu12259	443598	444278	+	0
mpneu22161	443506	443640	-	0
mpneu27200	443211	443651	-	0
mpneu22160	443671	443712	-	-1
mpneu22159	443725	443892	-	0
mpneu27199	443697	444101	-	0
mpneu07401	444128	444268	+	0
mpneu17055	443552	444187	-	MPN371
mpneu02446	444196	444357	+	0
mpneu17054	444203	444253	-	-1
mpneu12260	444318	444323	+	-1
mpneu17053	444287	444331	-	-1
mpneu07402	444341	446116	+	MPN372
mpneu27198	444132	444347	-	0
mpneu12261	444360	444422	+	0
mpneu17052	444335	444406	-	0
mpneu27197	444354	444416	-	0
mpneu12262	444423	444635	+	0
mpneu17051	444419	444448	-	-1
mpneu22158	444364	444459	-	0
mpneu27196	444480	444500	-	-1
mpneu22157	444475	444504	-	-1
mpneu17050	444533	444556	-	-1
mpneu17049	444572	444598	-	-1
mpneu12263	444663	444788	+	0
mpneu27195	444510	444689	-	0
mpneu17048	444638	444691	-	-1
mpneu17047	444707	444730	-	-1
mpneu02447	444736	444768	+	-1
mpneu27194	444741	444755	-	-1
mpneu02448	444781	444855	+	0
mpneu12264	444792	444845	+	-1
mpneu12265	444861	444944	+	0
mpneu22156	444601	444879	-	0
mpneu02449	444922	445053	+	0
mpneu27193	444858	444935	-	0
mpneu17046	444785	444958	-	0
mpneu17045	444959	444973	-	-1
mpneu12266	444984	445073	+	0
mpneu27192	444945	445046	-	0
mpneu02450	445078	445101	+	-1
mpneu12267	445083	445142	+	0
mpneu22155	444886	445083	-	0
mpneu17044	445109	445114	-	-1
mpneu27191	445050	445124	-	0
mpneu27190	445131	445160	-	-1
mpneu17043	445169	445189	-	-1
mpneu12268	445227	445247	+	-1
mpneu22154	445102	445281	-	0
mpneu02451	445288	445398	+	0
mpneu12269	445293	445325	+	-1
mpneu17042	445202	445303	-	0
mpneu12270	445329	445460	+	0
mpneu27189	445197	445334	-	0
mpneu02452	445429	445578	+	0
mpneu17041	445322	445447	-	0
mpneu12271	445503	445601	+	0
mpneu17040	445487	445543	-	-1
mpneu27188	445410	445574	-	0
mpneu12272	445602	445679	+	0
mpneu02453	445612	445653	+	-1
mpneu17039	445592	445624	-	-1
mpneu22153	445297	445656	-	0
mpneu02454	445687	445827	+	0
mpneu17038	445676	445714	-	-1
mpneu12273	445719	445772	+	-1
mpneu27187	445650	445745	-	0
mpneu12274	445791	445868	+	0
mpneu22152	445762	445839	-	0
mpneu17037	445769	445843	-	0
mpneu02455	445861	445914	+	-1
mpneu12275	445881	446006	+	0
mpneu02456	445915	445965	+	-1
mpneu17036	445874	445975	-	0
mpneu22151	445849	445977	-	0
mpneu27186	445962	446027	-	0
mpneu02457	446029	446058	+	-1
mpneu22150	445984	446049	-	0
mpneu12276	446061	446123	+	0
mpneu22149	446050	446094	-	-1
mpneu22148	446113	446136	-	-1
mpneu07403	446141	446149	+	-1
mpneu02458	446149	446196	+	-1
mpneu17035	446120	446176	-	-1
mpneu17034	446216	446230	-	-1
mpneu17033	446234	446239	-	-1
mpneu12277	446283	446291	+	-1
mpneu02459	446296	446490	+	0
mpneu07404	446312	446332	+	-1
mpneu17032	446288	446338	-	-1
mpneu07405	446342	446374	+	-1
mpneu17031	446339	446353	-	-1
mpneu12278	446355	446363	+	-1
mpneu12279	446364	446444	+	0
mpneu07406	446378	446413	+	-1
mpneu12280	446457	446678	+	0
mpneu07407	446480	446500	+	-1
mpneu17030	446360	446497	-	0
mpneu07408	446504	446518	+	-1
mpneu07409	446522	446644	+	0
mpneu02460	446536	446628	+	0
mpneu17029	446528	446608	-	0
mpneu02461	446644	446751	+	0
mpneu07410	446654	446674	+	-1
mpneu17028	446618	446668	-	-1
mpneu17027	446675	446683	-	-1
mpneu12281	446718	446804	+	0
mpneu17026	446687	446734	-	-1
mpneu07411	446756	446878	+	0
mpneu02462	446773	446925	+	0
mpneu17025	446735	446794	-	0
mpneu12282	446814	446840	+	-1
mpneu17024	446801	446821	-	-1
mpneu17023	446843	446872	-	-1
mpneu17022	446918	446941	-	-1
mpneu12283	446949	446957	+	-1
mpneu17021	446954	446965	-	-1
mpneu02463	446980	447186	+	0
mpneu12284	446994	447059	+	0
mpneu07412	447020	447079	+	0
mpneu22147	446968	447072	-	0
mpneu17020	446999	447076	-	0
mpneu12285	447102	447242	+	0
mpneu07413	447107	447169	+	0
mpneu07414	447170	447214	+	-1
mpneu17019	447116	447205	-	0
mpneu02464	447214	447219	+	-1
mpneu02465	447235	447255	+	-1
mpneu12286	447288	447437	+	0
mpneu17018	447248	447298	-	-1
mpneu02466	447301	447333	+	-1
mpneu17017	447314	447319	-	-1
mpneu02467	447343	447504	+	0
mpneu17016	447323	447352	-	-1
mpneu27185	446127	447362	-	MPN373
mpneu07415	447395	447421	+	-1
mpneu12287	447444	447548	+	0
mpneu02468	447511	447651	+	0
mpneu12288	447558	447590	+	-1
mpneu07416	447560	447610	+	-1
mpneu22146	447508	447606	-	0
mpneu17015	447434	447613	-	0
mpneu12289	447615	447671	+	-1
mpneu07417	447653	447841	+	0
mpneu12290	447675	447683	+	-1
mpneu02469	447754	447804	+	-1
mpneu12291	447765	447773	+	-1
mpneu27184	447684	447776	-	0
mpneu12292	447798	447914	+	0
mpneu22145	447634	447834	-	0
mpneu02470	447835	447873	+	-1
mpneu07418	447854	447898	+	-1
mpneu22144	447838	447861	-	-1
mpneu27183	447801	447866	-	0
mpneu12293	447915	447932	+	-1
mpneu07419	447953	447982	+	-1
mpneu02471	448003	448023	+	-1
mpneu07420	448010	448075	+	0
mpneu27182	447999	448019	-	-1
mpneu27181	448020	448028	-	-1
mpneu02472	448033	448041	+	-1
mpneu02473	448042	448083	+	-1
mpneu12294	448059	448106	+	-1
mpneu22143	448099	448110	-	-1
mpneu07421	448112	448135	+	-1
mpneu12295	448116	448223	+	0
mpneu22142	448132	448161	-	-1
mpneu07422	448187	448195	+	-1
mpneu07423	448205	448258	+	-1
mpneu12296	448230	448364	+	0
mpneu02474	448234	448242	+	-1
mpneu22141	448201	448245	-	-1
mpneu22140	448255	448263	-	-1
mpneu02475	448276	448302	+	-1
mpneu07424	448280	448288	+	-1
mpneu22139	448285	448293	-	-1
mpneu02476	448303	448317	+	-1
mpneu02477	448321	448329	+	-1
mpneu07425	448382	448393	+	-1
mpneu12297	448395	448400	+	-1
mpneu12298	448431	448538	+	0
mpneu17014	447770	448459	-	MPN374
mpneu22138	448345	448464	-	0
mpneu22137	448468	448479	-	-1
mpneu02478	448504	448512	+	-1
mpneu07426	448514	448639	+	0
mpneu12299	448539	448616	+	0
mpneu02479	448546	448557	+	-1
mpneu22136	448480	448566	-	0
mpneu22135	448582	448602	-	-1
mpneu12300	448623	448697	+	0
mpneu27180	448560	448631	-	0
mpneu22134	448636	448647	-	-1
mpneu07427	448661	448681	+	-1
